GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
4155200,160,41,,,,,,Oregon City city,31859,12900,25754,10110,31859,25754
4156250,160,41,,,,,,Paisley city,243,156,247,176,243,247
4157650,160,41,,,,,,Pilot Rock city,1502,649,1532,630,1502,1532
4157875,160,41,,,,,,Pine Hollow CDP,494,488,424,435,494,424
4159250,160,41,,,,,,Port Orford city,1133,767,1153,662,1133,1153
4159600,160,41,,,,,,Powers city,689,379,734,403,689,734
4159650,160,41,,,,,,Prairie City city,909,476,1080,493,909,1080
4160850,160,41,,,,,,Rainier city,1895,884,1687,733,1895,1687
4161250,160,41,,,,,,Redwood CDP,2627,1227,5844,2529,2627,5844
4163010,160,41,,,,,,Rockcreek CDP,9316,3841,9404,3609,9316,9404
4163650,160,41,,,,,,Roseburg city,21181,9732,20017,8838,21181,20017
4164200,160,41,,,,,,Rufus city,249,141,268,162,249,268
4164850,160,41,,,,,,St. Paul city,421,151,354,128,421,354
4167650,160,41,,,,,,Silverton city,9222,3677,7414,2865,9222,7414
4168875,160,41,,,,,,South Lebanon CDP,1005,427,1155,422,1005,1155
4169600,160,41,,,,,,Springfield city,59403,24809,52864,21500,59403,52864
4171650,160,41,,,,,,Sutherlin city,7810,3566,6669,2975,7810,6669
4172800,160,41,,,,,,Terrebonne CDP,1257,524,1469,561,1257,1469
4174000,160,41,,,,,,Toledo city,3465,1474,3472,1474,3465,3472
4175150,160,41,,,,,,Turner city,1854,768,1199,522,1854,1199
4175185,160,41,,,,,,Tutuilla CDP,487,179,460,160,487,460
4178000,160,41,,,,,,Waldport city,2033,1196,2050,1099,2033,2050
4178150,160,41,,,,,,Wallowa city,808,394,869,396,808,869
4180350,160,41,,,,,,Weston city,667,271,717,280,667,717
4181300,160,41,,,,,,Wheeler city,414,289,391,244,414,391
4182350,160,41,,,,,,Willamina city,2025,777,1844,715,2025,1844
4183050,160,41,,,,,,Winchester Bay CDP,382,270,488,362,382,488
4184200,160,41,,,,,,Yachats city,690,807,617,619,690,617
